"sys_created_on","date","street_name","traffic_flow"
"2024-07-03 04:00:02","2024-07-03 04:00:02","Orange Ave","15 mins"
"2024-07-03 04:00:02","2024-07-03 04:00:02","Colonial Dr","16 mins"
"2024-07-02 14:00:01","2024-07-02 14:00:01","Orange Blossom Trail","13 mins"
"2024-07-02 14:00:01","2024-07-02 14:00:01","Colonial Dr","20 mins"
"2024-07-02 14:00:01","2024-07-02 14:00:01","Orange Ave","18 mins"
"2024-07-02 09:00:01","2024-07-02 09:00:01","Orange Ave","17 mins"
"2024-07-02 09:00:01","2024-07-02 09:00:01","Colonial Dr","17 mins"
"2024-07-02 09:00:01","2024-07-02 09:00:01","Orange Blossom Trail","13 mins"
"2024-07-02 07:04:56","2024-07-02 07:04:56","Colonial Dr","16 mins"
"2024-07-02 07:04:55","2024-07-02 07:04:55","Orange Ave","15 mins"
"2024-07-02 07:04:55","2024-07-02 07:04:55","Orange Blossom Trail","12 mins"
"2024-07-02 04:00:02","2024-07-02 04:00:02","Colonial Dr","15 mins"
"2024-07-02 04:00:02","2024-07-02 04:00:02","Orange Blossom Trail","12 mins"
"2024-07-02 04:00:02","2024-07-02 04:00:02","Orange Ave","15 mins"
"2024-07-01 14:00:02","2024-07-01 14:00:02","Colonial Dr","19 mins"
"2024-07-01 14:00:01","2024-07-01 14:00:01","Orange Blossom Trail","13 mins"
"2024-07-01 14:00:01","2024-07-01 14:00:01","Orange Ave","18 mins"
"2024-07-01 09:00:01","2024-07-01 09:00:01","Colonial Dr","16 mins"
"2024-07-01 09:00:00","2024-07-01 09:00:00","Orange Ave","15 mins"
"2024-07-01 09:00:00","2024-07-01 09:00:00","Orange Blossom Trail","13 mins"
"2024-07-01 04:00:03","2024-07-01 04:00:03","Colonial Dr","15 mins"
"2024-07-01 04:00:03","2024-07-01 04:00:03","Orange Blossom Trail","12 mins"
"2024-07-01 04:00:03","2024-07-01 04:00:03","Orange Ave","14 mins"
"2024-06-30 14:00:01","2024-06-30 14:00:01","Orange Blossom Trail","11 mins"
"2024-06-30 14:00:01","2024-06-30 14:00:01","Colonial Dr","15 mins"
"2024-06-30 14:00:00","2024-06-30 14:00:00","Orange Ave","14 mins"
"2024-06-30 09:00:02","2024-06-30 09:00:02","Orange Ave","14 mins"
"2024-06-30 09:00:02","2024-06-30 09:00:02","Colonial Dr","15 mins"
"2024-06-30 09:00:02","2024-06-30 09:00:02","Orange Blossom Trail","12 mins"
"2024-06-30 04:00:03","2024-06-30 04:00:03","Orange Ave","12 mins"
"2024-06-30 04:00:03","2024-06-30 04:00:03","Orange Blossom Trail","10 mins"
"2024-06-30 04:00:03","2024-06-30 04:00:03","Colonial Dr","14 mins"
"2024-06-29 14:00:01","2024-06-29 14:00:01","Orange Ave","14 mins"
"2024-06-29 14:00:01","2024-06-29 14:00:01","Colonial Dr","16 mins"
"2024-06-29 14:00:01","2024-06-29 14:00:01","Orange Blossom Trail","12 mins"
"2024-06-29 09:00:02","2024-06-29 09:00:02","Colonial Dr","16 mins"
"2024-06-29 09:00:02","2024-06-29 09:00:02","Orange Blossom Trail","12 mins"
"2024-06-29 09:00:02","2024-06-29 09:00:02","Orange Ave","15 mins"
"2024-06-29 04:00:02","2024-06-29 04:00:02","Orange Ave","13 mins"
"2024-06-29 04:00:02","2024-06-29 04:00:02","Colonial Dr","14 mins"
